chapter,paragraph,matched_words,start_char,end_char
17,"The party were expected to arrive on Thursday afternoon, in time for dinner at six. During the intervening period I had no time to nurse chimeras; and I believe I was as active and gay as anybody—Adèle excepted. Still, now and then, I received a damping check to my cheerfulness; and was, in spite of myself, thrown back on the region of doubts and portents, and dark conjectures. This was when I chanced to see the third-storey staircase door (which of late had always been kept locked) open slowly, and give passage to the form of Grace Poole, in prim cap, white apron, and handkerchief; when I watched her glide along the gallery, her quiet tread muffled in a list slipper; when I saw her look into the bustling, topsy-turvy bedrooms,—just say a word, perhaps, to the charwoman about the proper way to polish a grate, or clean a marble mantelpiece, or take stains from papered walls, and then pass on. She would thus descend to the kitchen once a day, eat her dinner, smoke a moderate pipe on the hearth, and go back, carrying her pot of porter with her, for her private solace, in her own gloomy, upper haunt. Only one hour in the twenty-four did she pass with her fellow-servants below; all the rest of her time was spent in some low-ceiled, oaken chamber of the second storey: there she sat and sewed—and probably laughed drearily to herself,—as companionless as a prisoner in his dungeon.",['eat'],4693,6088
17,"“Well now, while the ladies are in their rooms, I will venture down and get you something to eat.”",['eat'],11854,11952
17,"And issuing from my asylum with precaution, I sought a back-stairs which conducted directly to the kitchen. All in that region was fire and commotion; the soup and fish were in the last stage of projection, and the cook hung over her crucibles in a frame of mind and body threatening spontaneous combustion. In the servants’ hall two coachmen and three gentlemen’s gentlemen stood or sat round the fire; the abigails, I suppose, were upstairs with their mistresses; the new servants, that had been hired from Millcote, were bustling about everywhere. Threading this chaos, I at last reached the larder; there I took possession of a cold chicken, a roll of bread, some tarts, a plate or two and a knife and fork: with this booty I made a hasty retreat. I had regained the gallery, and was just shutting the back-door behind me, when an accelerated hum warned me that the ladies were about to issue from their chambers. I could not proceed to the schoolroom without passing some of their doors, and running the risk of being surprised with my cargo of victualage; so I stood still at this end, which, being windowless, was dark: quite dark now, for the sun was set and twilight gathering.",['soup'],11954,13140
17,"No sooner did I see that his attention was riveted on them, and that I might gaze without being observed, than my eyes were drawn involuntarily to his face; I could not keep their lids under control: they would rise, and the irids would fix on him. I looked, and had an acute pleasure in looking,—a precious yet poignant pleasure; pure gold, with a steely point of agony: a pleasure like what the thirst-perishing man might feel who knows the well to which he has crept is poisoned, yet stoops and drinks divine draughts nevertheless.",['drinks'],29535,30069
17,“But my curiosity will be past its appetite; it craves food now.”,['food'],36184,36249
20,"“Now, my little friend, while the sun drinks the dew—while all the flowers in this old garden awake and expand, and the birds fetch their young ones’ breakfast out of the Thornfield, and the early bees do their first spell of work—I’ll put a case to you, which you must endeavour to suppose your own: but first, look at me, and tell me you are at ease, and not fearing that I err in detaining you, or that you err in staying.”",['drinks'],26755,27181
20,"“Well then, Jane, call to aid your fancy:—suppose you were no longer a girl well reared and disciplined, but a wild boy indulged from childhood upwards; imagine yourself in a remote foreign land; conceive that you there commit a capital error, no matter of what nature or from what motives, but one whose consequences must follow you through life and taint all your existence. Mind, I don’t say a _crime_; I am not speaking of shedding of blood or any other guilty act, which might make the perpetrator amenable to the law: my word is _error_. The results of what you have done become in time to you utterly insupportable; you take measures to obtain relief: unusual measures, but neither unlawful nor culpable. Still you are miserable; for hope has quitted you on the very confines of life: your sun at noon darkens in an eclipse, which you feel will not leave it till the time of setting. Bitter and base associations have become the sole food of your memory: you wander here and there, seeking rest in exile: happiness in pleasure—I mean in heartless, sensual pleasure—such as dulls intellect and blights feeling. Heart-weary and soul-withered, you come home after years of voluntary banishment: you make a new acquaintance—how or where no matter: you find in this stranger much of the good and bright qualities which you have sought for twenty years, and never before encountered; and they are all fresh, healthy, without soil and without taint. Such society revives, regenerates: you feel better days come back—higher wishes, purer feelings; you desire to recommence your life, and to spend what remains to you of days in a way more worthy of an immortal being. To attain this end, are you justified in overleaping an obstacle of custom—a mere conventional impediment which neither your conscience sanctifies nor your judgment approves?”",['food'],27209,29051
21,"Eliza still spoke little: she had evidently no time to talk. I never saw a busier person than she seemed to be; yet it was difficult to say what she did: or rather, to discover any result of her diligence. She had an alarm to call her up early. I know not how she occupied herself before breakfast, but after that meal she divided her time into regular portions, and each hour had its allotted task. Three times a day she studied a little book, which I found, on inspection, was a Common Prayer Book. I asked her once what was the great attraction of that volume, and she said, “the Rubric.” Three hours she gave to stitching, with gold thread, the border of a square crimson cloth, almost large enough for a carpet. In answer to my inquiries after the use of this article, she informed me it was a covering for the altar of a new church lately erected near Gateshead. Two hours she devoted to her diary; two to working by herself in the kitchen-garden; and one to the regulation of her accounts. She seemed to want no company; no conversation. I believe she was happy in her way: this routine sufficed for her; and nothing annoyed her so much as the occurrence of any incident which forced her to vary its clockwork regularity.",['meal'],32954,34182
22,"How people feel when they are returning home from an absence, long or short, I did not know: I had never experienced the sensation. I had known what it was to come back to Gateshead when a child after a long walk, to be scolded for looking cold or gloomy; and later, what it was to come back from church to Lowood, to long for a plenteous meal and a good fire, and to be unable to get either. Neither of these returnings was very pleasant or desirable: no magnet drew me to a given point, increasing in its strength of attraction the nearer I came. The return to Thornfield was yet to be tried.",['meal'],3479,4073
24,"Mrs. Fairfax surprised me by looking out of the window with a sad countenance, and saying gravely—“Miss Eyre, will you come to breakfast?” During the meal she was quiet and cool: but I could not undeceive her then. I must wait for my master to give explanations; and so must she. I ate what I could, and then I hastened upstairs. I met Adèle leaving the schoolroom.",['meal'],1454,1819
24,"“She will have nothing to eat: you will starve her,” observed Adèle.",['eat'],21119,21187
24,"“Do you suppose I eat like an ogre or a ghoul, that you dread being the companion of my repast?”",['eat'],29938,30034
25,"“Take a seat and bear me company, Jane: please God, it is the last meal but one you will eat at Thornfield Hall for a long time.”","['meal', 'eat']",9361,9490
25,"I sat down near him, but told him I could not eat.",['eat'],9492,9542
26,"He took me into the dining-room, surveyed me keenly all over, pronounced me “fair as a lily, and not only the pride of his life, but the desire of his eyes,” and then telling me he would give me but ten minutes to eat some breakfast, he rang the bell. One of his lately hired servants, a footman, answered it.",['eat'],748,1057
26,"He lifted the hangings from the wall, uncovering the second door: this, too, he opened. In a room without a window, there burnt a fire guarded by a high and strong fender, and a lamp suspended from the ceiling by a chain. Grace Poole bent over the fire, apparently cooking something in a saucepan. In the deep shade, at the farther end of the room, a figure ran backwards and forwards. What it was, whether beast or human being, one could not, at first sight, tell: it grovelled, seemingly, on all fours; it snatched and growled like some strange wild animal: but it was covered with clothing, and a quantity of dark, grizzled hair, wild as a mane, hid its head and face.",['cooking'],13874,14545
27,"I rose up suddenly, terror-struck at the solitude which so ruthless a judge haunted,—at the silence which so awful a voice filled. My head swam as I stood erect. I perceived that I was sickening from excitement and inanition; neither meat nor drink had passed my lips that day, for I had taken no breakfast. And, with a strange pang, I now reflected that, long as I had been shut up here, no message had been sent to ask how I was, or to invite me to come down: not even little Adèle had tapped at the door; not even Mrs. Fairfax had sought me. “Friends always forget those whom fortune forsakes,” I murmured, as I undrew the bolt and passed out. I stumbled over an obstacle: my head was still dizzy, my sight was dim, and my limbs were feeble. I could not soon recover myself. I fell, but not on to the ground: an outstretched arm caught me. I looked up—I was supported by Mr. Rochester, who sat in a chair across my chamber threshold.",['meat'],1320,2256
28,"I touched the heath: it was dry, and yet warm with the heat of the summer day. I looked at the sky; it was pure: a kindly star twinkled just above the chasm ridge. The dew fell, but with propitious softness; no breeze whispered. Nature seemed to me benign and good; I thought she loved me, outcast as I was; and I, who from man could anticipate only mistrust, rejection, insult, clung to her with filial fondness. To-night, at least, I would be her guest, as I was her child: my mother would lodge me without money and without price. I had one morsel of bread yet: the remnant of a roll I had bought in a town we passed through at noon with a stray penny—my last coin. I saw ripe bilberries gleaming here and there, like jet beads in the heath: I gathered a handful and ate them with the bread. My hunger, sharp before, was, if not satisfied, appeased by this hermit’s meal. I said my evening prayers at its conclusion, and then chose my couch.",['meal'],3104,4048
28,"I passed up the street, looking as I went at all the houses to the right hand and to the left; but I could discover no pretext, nor see an inducement to enter any. I rambled round the hamlet, going sometimes to a little distance and returning again, for an hour or more. Much exhausted, and suffering greatly now for want of food, I turned aside into a lane and sat down under the hedge. Ere many minutes had elapsed, I was again on my feet, however, and again searching something—a resource, or at least an informant. A pretty little house stood at the top of the lane, with a garden before it, exquisitely neat and brilliantly blooming. I stopped at it. What business had I to approach the white door or touch the glittering knocker? In what way could it possibly be the interest of the inhabitants of that dwelling to serve me? Yet I drew near and knocked. A mild-looking, cleanly-attired young woman opened the door. In such a voice as might be expected from a hopeless heart and fainting frame—a voice wretchedly low and faltering—I asked if a servant was wanted here?",['food'],10746,11819
28,"I could not bear to return to the sordid village, where, besides, no prospect of aid was visible. I should have longed rather to deviate to a wood I saw not far off, which appeared in its thick shade to offer inviting shelter; but I was so sick, so weak, so gnawed with nature’s cravings, instinct kept me roaming round abodes where there was a chance of food. Solitude would be no solitude—rest no rest—while the vulture, hunger, thus sank beak and talons in my side.",['food'],12446,12914
28,"A little before dark I passed a farm-house, at the open door of which the farmer was sitting, eating his supper of bread and cheese. I stopped and said—",['eating'],16048,16200
28,"I could not hope to get a lodging under a roof, and sought it in the wood I have before alluded to. But my night was wretched, my rest broken: the ground was damp, the air cold: besides, intruders passed near me more than once, and I had again and again to change my quarters: no sense of safety or tranquillity befriended me. Towards morning it rained; the whole of the following day was wet. Do not ask me, reader, to give a minute account of that day; as before, I sought work; as before, I was repulsed; as before, I starved; but once did food pass my lips. At the door of a cottage I saw a little girl about to throw a mess of cold porridge into a pig trough. “Will you give me that?” I asked.",['food'],16563,17261
28,"And she proceeded to prepare the meal. The ladies rose; they seemed about to withdraw to the parlour. Till this moment, I had been so intent on watching them, their appearance and conversation had excited in me so keen an interest, I had half-forgotten my own wretched position: now it recurred to me. More desolate, more desperate than ever, it seemed from contrast. And how impossible did it appear to touch the inmates of this house with concern on my behalf; to make them believe in the truth of my wants and woes—to induce them to vouchsafe a rest for my wanderings! As I groped out the door, and knocked at it hesitatingly, I felt that last idea to be a mere chimera. Hannah opened.",['meal'],28932,29620
28,"“I want a night’s shelter in an out-house or anywhere, and a morsel of bread to eat.”",['eat'],29924,30009
28,"Diana (I knew her by the long curls which I saw drooping between me and the fire as she bent over me) broke some bread, dipped it in milk, and put it to my lips. Her face was near mine: I saw there was pity in it, and I felt sympathy in her hurried breathing. In her simple words, too, the same balm-like emotion spoke: “Try to eat.”",['eat'],33983,34316
29,"On the third day I was better; on the fourth, I could speak, move, rise in bed, and turn. Hannah had brought me some gruel and dry toast, about, as I supposed, the dinner-hour. I had eaten with relish: the food was good—void of the feverish flavour which had hitherto poisoned what I had swallowed. When she left me, I felt comparatively strong and revived: ere long satiety of repose and desire for action stirred me. I wished to rise; but what could I put on? Only my damp and bemired apparel; in which I had slept on the ground and fallen in the marsh. I felt ashamed to appear before my benefactors so clad. I was spared the humiliation.","['eaten', 'food']",3204,3845
29,"“Sit there,” she said, placing me on the sofa, “while we take our things off and get the tea ready; it is another privilege we exercise in our little moorland home—to prepare our own meals when we are so inclined, or when Hannah is baking, brewing, washing, or ironing.”",['meals'],13171,13441
29,"“Eat that now,” she said: “you must be hungry. Hannah says you have had nothing but some gruel since breakfast.”",['Eat'],15585,15697
29,"“It is well for you that a low fever has forced you to abstain for the last three days: there would have been danger in yielding to the cravings of your appetite at first. Now you may eat, though still not immoderately.”",['eat'],16232,16452
29,"“I trust I shall not eat long at your expense, sir,” was my very clumsily-contrived, unpolished answer.",['eat'],16454,16557
29,"“I left Lowood nearly a year since to become a private governess. I obtained a good situation, and was happy. This place I was obliged to leave four days before I came here. The reason of my departure I cannot and ought not to explain: it would be useless, dangerous, and would sound incredible. No blame attached to me: I am as free from culpability as any one of you three. Miserable I am, and must be for a time; for the catastrophe which drove me from a house I had found a paradise was of a strange and direful nature. I observed but two points in planning my departure—speed, secrecy: to secure these, I had to leave behind me everything I possessed except a small parcel; which, in my hurry and trouble of mind, I forgot to take out of the coach that brought me to Whitcross. To this neighbourhood, then, I came, quite destitute. I slept two nights in the open air, and wandered about two days without crossing a threshold: but twice in that space of time did I taste food; and it was when brought by hunger, exhaustion, and despair almost to the last gasp, that you, Mr. Rivers, forbade me to perish of want at your door, and took me under the shelter of your roof. I know all your sisters have done for me since—for I have not been insensible during my seeming torpor—and I owe to their spontaneous, genuine, genial compassion as large a debt as to your evangelical charity.”",['food'],20475,21859
31,"My home, then, when I at last find a home,—is a cottage; a little room with whitewashed walls and a sanded floor, containing four painted chairs and a table, a clock, a cupboard, with two or three plates and dishes, and a set of tea-things in delf. Above, a chamber of the same dimensions as the kitchen, with a deal bedstead and chest of drawers; small, yet too large to be filled with my scanty wardrobe: though the kindness of my gentle and generous friends has increased that, by a modest stock of such things as are necessary.",['dishes'],0,531
31,"“It is hard work to control the workings of inclination and turn the bent of nature; but that it may be done, I know from experience. God has given us, in a measure, the power to make our own fate; and when our energies seem to demand a sustenance they cannot get—when our will strains after a path we may not follow—we need neither starve from inanition, nor stand still in despair: we have but to seek another nourishment for the mind, as strong as the forbidden food it longed to taste—and perhaps purer; and to hew out for the adventurous foot a road as direct and broad as the one Fortune has blocked up against us, if rougher than it.",['food'],7054,7694
32,"“Don’t imagine such hard things. Fancy me yielding and melting, as I am doing: human love rising like a freshly opened fountain in my mind and overflowing with sweet inundation all the field I have so carefully and with such labour prepared—so assiduously sown with the seeds of good intentions, of self-denying plans. And now it is deluged with a nectarous flood—the young germs swamped—delicious poison cankering them: now I see myself stretched on an ottoman in the drawing-room at Vale Hall at my bride Rosamond Oliver’s feet: she is talking to me with her sweet voice—gazing down on me with those eyes your skilful hand has copied so well—smiling at me with these coral lips. She is mine—I am hers—this present life and passing world suffice to me. Hush! say nothing—my heart is full of delight—my senses are entranced—let the time I marked pass in peace.”",['delicious'],17764,18625
33,"“With me,” said I, “it is fully as much a matter of feeling as of conscience: I must indulge my feelings; I so seldom have had an opportunity of doing so. Were you to argue, object, and annoy me for a year, I could not forego the delicious pleasure of which I have caught a glimpse—that of repaying, in part, a mighty obligation, and winning to myself lifelong friends.”",['delicious'],22946,23316
34,"“And Rosamond Oliver?” suggested Mary, the words seeming to escape her lips involuntarily: for no sooner had she uttered them, than she made a gesture as if wishing to recall them. St. John had a book in his hand—it was his unsocial custom to read at meals—he closed it, and looked up.",['meals'],14880,15165
35,"But I was forced to meet him again at supper. During that meal he appeared just as composed as usual. I had thought he would hardly speak to me, and I was certain he had given up the pursuit of his matrimonial scheme: the sequel showed I was mistaken on both points. He addressed me precisely in his ordinary manner, or what had, of late, been his ordinary manner—one scrupulously polite. No doubt he had invoked the help of the Holy Spirit to subdue the anger I had roused in him, and now believed he had forgiven me once more.",['meal'],13858,14386
37,"“And there is enchantment in the very hour I am now spending with you. Who can tell what a dark, dreary, hopeless life I have dragged on for months past? Doing nothing, expecting nothing; merging night in day; feeling but the sensation of cold when I let the fire go out, of hunger when I forgot to eat: and then a ceaseless sorrow, and, at times, a very delirium of desire to behold my Jane again. Yes: for her restoration I longed, far more than for that of my lost sight. How can it be that Jane is with me, and says she loves me? Will she not depart as suddenly as she came? To-morrow, I fear I shall find her no more.”",['eat'],17231,17854
37,"“Sacrifice! What do I sacrifice? Famine for food, expectation for content. To be privileged to put my arms round what I value—to press my lips to what I love—to repose on what I trust: is that to make a sacrifice? If so, then certainly I delight in sacrifice.”",['food'],33053,33313
37,"Reader, I married him. A quiet wedding we had: he and I, the parson and clerk, were alone present. When we got back from church, I went into the kitchen of the manor-house, where Mary was cooking the dinner and John cleaning the knives, and I said—",['cooking'],40298,40546
